;cuecolor;framecolor;orientation;stimulus;cueFileName;stimFileName;display;cocoa;cue0FileName;breakMessage
21;black;red;hori;3;blackredhori.png;blackredhori3.png;trial;300;blackblackhori.png;
22;black;red;vert;1;blackredvert.png;blackredvert1.png;trial;300;blackblackvert.png;
23;black;red;hori;9;blackredhori.png;blackredhori9.png;trial;300;blackblackhori.png;
24;black;red;vert;3;blackredvert.png;blackredvert3.png;trial;300;blackblackvert.png;
25;black;red;hori;1;blackredhori.png;blackredhori1.png;trial;300;blackblackhori.png;
26;black;blue;vert;4;blackbluevert.png;blackbluevert4.png;trial;300;blackblackvert.png;
27;black;red;hori;8;blackredhori.png;blackredhori8.png;trial;300;blackblackhori.png;
28;black;blue;hori;4;blackbluehori.png;blackbluehori4.png;trial;300;blackblackhori.png;
29;black;red;vert;6;blackredvert.png;blackredvert6.png;trial;300;blackblackvert.png;
30;black;blue;hori;2;blackbluehori.png;blackbluehori2.png;trial;300;blackblackhori.png;
31;black;blue;hori;1;blackbluehori.png;blackbluehori1.png;trial;300;blackblackhori.png;
32;black;blue;vert;7;blackbluevert.png;blackbluevert7.png;trial;300;blackblackvert.png;
33;black;blue;hori;4;blackbluehori.png;blackbluehori4.png;trial;300;blackblackhori.png;
34;black;blue;vert;9;blackbluevert.png;blackbluevert9.png;trial;300;blackblackvert.png;
35;black;blue;hori;2;blackbluehori.png;blackbluehori2.png;trial;300;blackblackhori.png;
36;black;blue;vert;4;blackbluevert.png;blackbluevert4.png;trial;300;blackblackvert.png;
37;black;blue;vert;7;blackbluevert.png;blackbluevert7.png;trial;300;blackblackvert.png;
38;black;blue;hori;4;blackbluehori.png;blackbluehori4.png;trial;300;blackblackhori.png;
39;black;red;vert;8;blackredvert.png;blackredvert8.png;trial;300;blackblackvert.png;
40;black;blue;vert;2;blackbluevert.png;blackbluevert2.png;trial;300;blackblackvert.png;
41;black;red;vert;3;blackredvert.png;blackredvert3.png;trial;300;blackblackvert.png;
42;black;red;hori;8;blackredhori.png;blackredhori8.png;trial;300;blackblackhori.png;
43;black;blue;vert;2;blackbluevert.png;blackbluevert2.png;trial;300;blackblackvert.png;
44;black;blue;vert;1;blackbluevert.png;blackbluevert1.png;trial;300;blackblackvert.png;
45;black;red;vert;9;blackredvert.png;blackredvert9.png;trial;300;blackblackvert.png;
46;black;red;vert;4;blackredvert.png;blackredvert4.png;trial;300;blackblackvert.png;
47;black;blue;vert;6;blackbluevert.png;blackbluevert6.png;trial;300;blackblackvert.png;
48;black;blue;hori;3;blackbluehori.png;blackbluehori3.png;trial;300;blackblackhori.png;
49;black;blue;vert;6;blackbluevert.png;blackbluevert6.png;trial;300;blackblackvert.png;
50;black;red;vert;1;blackredvert.png;blackredvert1.png;trial;300;blackblackvert.png;
51;black;blue;vert;6;blackbluevert.png;blackbluevert6.png;trial;300;blackblackvert.png;
52;black;red;vert;3;blackredvert.png;blackredvert3.png;trial;300;blackblackvert.png;
53;black;blue;vert;1;blackbluevert.png;blackbluevert1.png;trial;300;blackblackvert.png;
54;black;blue;vert;8;blackbluevert.png;blackbluevert8.png;trial;300;blackblackvert.png;
55;black;red;vert;9;blackredvert.png;blackredvert9.png;trial;300;blackblackvert.png;
56;black;blue;hori;3;blackbluehori.png;blackbluehori3.png;trial;300;blackblackhori.png;
57;black;red;vert;2;blackredvert.png;blackredvert2.png;trial;300;blackblackvert.png;
58;black;red;vert;6;blackredvert.png;blackredvert6.png;trial;300;blackblackvert.png;
59;black;red;vert;2;blackredvert.png;blackredvert2.png;trial;300;blackblackvert.png;
60;black;blue;vert;9;blackbluevert.png;blackbluevert9.png;trial;300;blackblackvert.png;
61;black;blue;hori;2;blackbluehori.png;blackbluehori2.png;trial;300;blackblackhori.png;
62;black;blue;vert;3;blackbluevert.png;blackbluevert3.png;trial;300;blackblackvert.png;
63;black;blue;hori;7;blackbluehori.png;blackbluehori7.png;trial;300;blackblackhori.png;
64;black;red;hori;4;blackredhori.png;blackredhori4.png;trial;300;blackblackhori.png;
65;black;red;hori;8;blackredhori.png;blackredhori8.png;trial;300;blackblackhori.png;
66;black;blue;vert;7;blackbluevert.png;blackbluevert7.png;trial;300;blackblackvert.png;
67;black;blue;vert;2;blackbluevert.png;blackbluevert2.png;trial;300;blackblackvert.png;
68;black;blue;vert;9;blackbluevert.png;blackbluevert9.png;trial;300;blackblackvert.png;
69;black;blue;vert;3;blackbluevert.png;blackbluevert3.png;trial;300;blackblackvert.png;
70;black;red;hori;1;blackredhori.png;blackredhori1.png;trial;300;blackblackhori.png;
71;black;blue;vert;8;blackbluevert.png;blackbluevert8.png;trial;300;blackblackvert.png;
72;black;red;hori;3;blackredhori.png;blackredhori3.png;trial;300;blackblackhori.png;
73;black;red;hori;9;blackredhori.png;blackredhori9.png;trial;300;blackblackhori.png;
74;black;blue;vert;3;blackbluevert.png;blackbluevert3.png;trial;300;blackblackvert.png;
75;black;red;vert;1;blackredvert.png;blackredvert1.png;trial;300;blackblackvert.png;
76;black;red;hori;7;blackredhori.png;blackredhori7.png;trial;300;blackblackhori.png;
77;black;red;vert;4;blackredvert.png;blackredvert4.png;trial;300;blackblackvert.png;
78;black;blue;hori;6;blackbluehori.png;blackbluehori6.png;trial;300;blackblackhori.png;
79;black;blue;hori;9;blackbluehori.png;blackbluehori9.png;trial;300;blackblackhori.png;
80;black;red;hori;3;blackredhori.png;blackredhori3.png;trial;300;blackblackhori.png;
81;black;blue;hori;9;blackbluehori.png;blackbluehori9.png;trial;300;blackblackhori.png;
82;black;blue;hori;3;blackbluehori.png;blackbluehori3.png;trial;300;blackblackhori.png;
83;black;red;hori;6;blackredhori.png;blackredhori6.png;trial;300;blackblackhori.png;
84;black;red;hori;2;blackredhori.png;blackredhori2.png;trial;300;blackblackhori.png;
85;black;blue;hori;7;blackbluehori.png;blackbluehori7.png;trial;300;blackblackhori.png;
86;black;red;hori;6;blackredhori.png;blackredhori6.png;trial;300;blackblackhori.png;
87;black;red;hori;1;blackredhori.png;blackredhori1.png;trial;300;blackblackhori.png;
88;black;red;vert;7;blackredvert.png;blackredvert7.png;trial;300;blackblackvert.png;
89;black;red;hori;2;blackredhori.png;blackredhori2.png;trial;300;blackblackhori.png;
90;black;blue;vert;1;blackbluevert.png;blackbluevert1.png;trial;300;blackblackvert.png;
91;black;blue;hori;9;blackbluehori.png;blackbluehori9.png;trial;300;blackblackhori.png;
92;black;red;hori;4;blackredhori.png;blackredhori4.png;trial;300;blackblackhori.png;
93;black;blue;hori;8;blackbluehori.png;blackbluehori8.png;trial;300;blackblackhori.png;
94;black;red;vert;9;blackredvert.png;blackredvert9.png;trial;300;blackblackvert.png;
95;black;blue;vert;4;blackbluevert.png;blackbluevert4.png;trial;300;blackblackvert.png;
96;;;;;;;break;;;You have completed block 3 out of 8.
