Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-4d69;checkpoint-7y1f;checkpoint-fqea;Question Key;Response
2;1591104283740;02/06/2020 13:24:43;1591104272857;2;02/06/2020 15:24:32;18755;2;questionnaire-89vf;;5273694;5ec829e78fd0f02dab19a6b8;1485102;;complete;;5ed64cc665948605cdb0ab19;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;sex;male
3;1591104283833;02/06/2020 13:24:43;1591104272860;2;02/06/2020 15:24:32;18755;2;questionnaire-89vf;;5273694;5ec829e78fd0f02dab19a6b8;1485102;;complete;;5ed64cc665948605cdb0ab19;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;sex-quantised;1
4;1591104283833;02/06/2020 13:24:43;1591104272860;2;02/06/2020 15:24:32;18755;2;questionnaire-89vf;;5273694;5ec829e78fd0f02dab19a6b8;1485102;;complete;;5ed64cc665948605cdb0ab19;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;age;19
5;1591104283833;02/06/2020 13:24:43;1591104272860;2;02/06/2020 15:24:32;18755;2;questionnaire-89vf;;5273694;5ec829e78fd0f02dab19a6b8;1485102;;complete;;5ed64cc665948605cdb0ab19;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;response-2;right-handed
6;1591104283833;02/06/2020 13:24:43;1591104272860;2;02/06/2020 15:24:32;18755;2;questionnaire-89vf;;5273694;5ec829e78fd0f02dab19a6b8;1485102;;complete;;5ed64cc665948605cdb0ab19;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;response-2-quantised;1
7;1591104283833;02/06/2020 13:24:43;1591104272861;2;02/06/2020 15:24:32;18755;2;questionnaire-89vf;;5273694;5ec829e78fd0f02dab19a6b8;1485102;;complete;;5ed64cc665948605cdb0ab19;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;response-2-text;
8;1591104283833;02/06/2020 13:24:43;1591104272861;2;02/06/2020 15:24:32;18755;2;questionnaire-89vf;;5273694;5ec829e78fd0f02dab19a6b8;1485102;;complete;;5ed64cc665948605cdb0ab19;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;response-3;English
9;1591104283833;02/06/2020 13:24:43;1591104272861;2;02/06/2020 15:24:32;18755;2;questionnaire-89vf;;5273694;5ec829e78fd0f02dab19a6b8;1485102;;complete;;5ed64cc665948605cdb0ab19;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;country;Alabama
10;1591104283833;02/06/2020 13:24:43;1591104272861;2;02/06/2020 15:24:32;18755;2;questionnaire-89vf;;5273694;5ec829e78fd0f02dab19a6b8;1485102;;complete;;5ed64cc665948605cdb0ab19;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;education;High school diploma
11;1591104283833;02/06/2020 13:24:43;1591104272861;2;02/06/2020 15:24:32;18755;2;questionnaire-89vf;;5273694;5ec829e78fd0f02dab19a6b8;1485102;;complete;;5ed64cc665948605cdb0ab19;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x969;after demographic;demographic;4;BRAC1_vertLL_1st0;after consent;after demographic;Task done;education-quantised;3
