"pp";"remove";"mapping";"message";"message1";"message2";"age";"sex";"country";"education";"handedness";"motherTongue";"psyKnowledge";"comment"
"5a913be789de8200013ea962";"0";"BRAC2_horiAL_1st0";"";"";"";"27";"male";"Estonia";"Bachelor degree";"right-handed";"Estonian";"Not at all";""
"5c4dfc246f708c000100b8f3";"0";"BRAC2_vertAL_1st300";"";"";" did 51 very slow responses; did 45 errors; ";"19";"female";"United Kingdom";"Some university/higher education but no degree";"left-handed";"English";"I've studied at least one of these disciplines (school or university)";""
"5e15bb731e2e58baea12295a";"0";"BRAC2_vertLL_1st0";"";"";"";"23";"male";"Czech Republic";"Some university/higher education but no degree";"right-handed";"Czech";"Some knowledge as amateur";""
"5e4d01bbca55661437cd235b";"0";"BRAC2_horiLL_1st0";"";"";"";"31";"female";"Sweden";"Master degree";"right-handed";"English";"Some knowledge as amateur";""
"5e8ef34abf2af01ac8679c07";"1";"BRAC2_vertLA_1st0";"";"has had 1 weird fixations durations;";" did 373 very slow responses; did 377 errors;  did not answer to 372trials;";"20";"male";"Italy";"High school diploma";"right-handed";"Italian";"Some knowledge as amateur";""
"5e9dd5c7a311c013113137ba";"0";"BRAC2_vertAL_1st0";"";"has had 3 weird fixations durations;";"";"20";"female";"Hungary";"Some university/higher education but no degree";"right-handed";"Hungarian";"Some knowledge as amateur";""
"5ea081f4ae138e046314f856";"0";"BRAC2_horiLA_1st300";"";"";"";"38";"female";"United Kingdom";"Bachelor degree";"right-handed";"English";"Not at all";""
"5eaf0da7fec73d5fae04f202";"0";"BRAC2_horiLL_1st300";"";"";"";"23";"female";"Poland";"Some university/higher education but no degree";"right-handed";"Polish";"Some knowledge as amateur";""
"5eb801891a17bb72f55591cd";"1";"BRAC2_vertLL_1st300";"";"";" did 71 very slow responses; did 138 errors; ";"20";"female";"Poland";"High school diploma";"right-handed";"Polish";"Some knowledge as amateur";""
"5f5575fb29e3ce95ae953347";"0";"BRAC2_vertAA_1st300";"";"";"";NA;"male";"USA";"Bachelor degree";"right-handed";"English";"I've studied at least one of these disciplines (school or university)";"Test felt a bit long, like I was affected by fatigue. "
"599cb6ea6c165e000113ff6b";"0";"BRAC2_vertLL_1st0";"";"";"";"22";"female";"Portugal";"Bachelor degree";"right-handed";"Portuguese";"I've a degree related to one of these fields.";""
"5c9b3126a586fd00154d5440";"0";"BRAC2_horiLA_1st300";"";"";" did 41 errors;";"32";"female";"United Kingdom";"Master degree";"left-handed";"German";"Not at all";""
"5e6fbdb3292f7b57d7e0b3a7";"0";"BRAC2_horiAL_1st300";"";"";"";"30";"male";"United Kingdom";"Some university/higher education but no degree";"right-handed";"English";"I've studied at least one of these disciplines (school or university)";""
"5e70e6d1bf47590765d9433d";"1";"BRAC2_horiLA_1st0";"";"has had 2 weird fixations durations; has had 1 weird cue durations;";" did 148 super fast responses; did 199 errors;";"20";"male";"Poland";"High school diploma";"right-handed";"Polish";"Not at all";""
"5e78df72159c15066ec6bfad";"0";"BRAC2_vertAL_1st0";"";"";"";"26";"male";"United Kingdom";"High school diploma";"right-handed";"English";"Not at all";""
"5e9d13e59fb53d1f274065cb";"1";"BRAC2_horiLL_1st0";"";"";" did 139 errors;";"31";"male";"Canada";"Bachelor degree";"right-handed";"English";"Not at all";""
"5eeb51756851af2a171c674e";"0";"BRAC2_horiLL_1st300";"";"";"";"19";"male";"Italy";"High school diploma";"right-handed";"Italian";"Not at all";""
"5efbe7a1cae4551978ab74bd";"0";"BRAC2_horiAA_1st300";"";"";"";"23";"male";"Portugal";"Some university/higher education but no degree";"right-handed";"Portuguese";"Not at all";""
"5efda795d8629a1ef22ec0e6";"0";"BRAC2_horiAA_1st0";"";"";"";"28";"female";"United Kingdom";"Bachelor degree";"right-handed";"English";"Not at all";""
"5f0f93938935de000855898b";"0";"BRAC2_vertLL_1st300";"";"";"";"21";"male";"Poland";"High school diploma";"right-handed";"Polish";"Not at all";""
"5f3a96015cb42d0cf9901e47";"0";"BRAC2_vertAA_1st0";"";"";" did 52 very slow responses;";"18";"male";"United Kingdom";"High school diploma";"right-handed";"Urdu";"I've studied at least one of these disciplines (school or university)";"n/a"
"5f40e3e35d750a043d8caa5d";"0";"BRAC2_horiAA_1st300";"";" has had 1 weird cue durations;";"";"18";"male";"United Kingdom";"Some high school but no diploma";"right-handed";"English";"Not at all";""
"5e0124714c81b2d1b3a4ca2e";"0";"BRAC2_horiAL_1st0";"";"";"";"28";"female";"Poland";"Bachelor degree";"right-handed";"Polish";"Not at all";""
"5ef34cc943115906d6aa397f";"0";"BRAC2_vertAA_1st300";"";"";"";"18";"male";"United Kingdom";"High school diploma";"left-handed";"English";"Not at all";"I started messing up in block three because i noticed the change in colour square from red to blue and it distracted me momentarily."
