"","V1","V2","V3","V4"
"393",0,0,0,4
"394",0,0,0,9
"395",0,0,0,8
"396",0,0,0,9
"397",0,0,0,8
"398",0,0,0,6
"399",0,0,0,6
"400",0,0,0,10
"401",0,0,0,3
"402",0,0,0,10
"403",0,0,0,5
"404",0,0,0,12
"405",0,0,0,16
"406",0,0,0,8
"407",0,0,0,14
"408",0,0,0,7
"409",0,0,0,12
"410",0,0,0,5
"411",0,0,0,8
"412",0,0,0,12
"413",0,0,0,16
"414",0,0,0,13
"415",0,0,0,13
"416",0,0,0,7
"417",0,0,0,11
"418",0,0,0,9
"419",0,0,0,16
"420",0,0,0,14
"421",0,0,0,12
"422",0,0,0,14
"423",0,0,0,8
"424",0,0,0,9
"425",0,0,0,10
"426",0,0,0,10
"427",0,0,0,8
"428",0,0,0,8
"429",0,0,0,9
"430",0,0,0,12
"431",0,0,0,11
"432",0,0,0,9
"433",0,0,0,9
"434",0,0,0,8
"435",0,0,0,13
"436",0,0,0,4
"437",0,0,0,8
"438",0,0,0,12
"439",0,0,0,12
"440",0,0,0,10
"441",0,0,0,11
"442",0,0,0,7
"443",0,0,0,11
"444",0,0,0,12
"445",0,0,0,11
"446",0,0,0,4
"447",0,0,0,7
"448",0,0,0,8
"449",0,0,0,10
"450",0,0,0,5
"451",0,0,0,13
"452",0,0,0,10
"453",0,0,0,8
"454",0,0,0,12
"455",0,0,0,12
"456",0,0,0,17
"457",0,0,0,7
"458",0,0,0,11
"459",0,0,0,10
"460",0,0,0,6
"461",0,0,0,11
"462",0,0,0,10
"463",0,0,0,9
"464",0,0,0,12
"465",0,0,0,12
"466",0,0,0,5
"467",0,0,0,8
"468",0,0,0,8
"469",0,0,0,17
"470",0,0,0,8
"471",0,0,0,14
"472",0,0,0,13
"473",0,0,0,5
"474",0,0,0,8
"475",0,0,0,7
"476",0,0,0,18
"477",0,0,0,12
"478",0,0,0,11
"479",0,0,0,11
"480",0,0,0,10
"481",0,0,0,11
"482",0,0,0,13
"483",0,0,0,4
"484",0,0,0,15
"485",0,0,0,8
"486",0,0,0,6
"487",0,0,0,10
"488",0,0,0,11
"489",0,0,0,8
"490",0,0,0,7
"491",0,0,0,6
"492",0,0,0,9
"493",0,0,0,7
"494",0,0,0,5
"495",0,0,0,8
"496",0,0,0,5
"497",0,0,0,3
"498",0,0,0,3
"499",0,0,0,7
"500",0,0,0,6
"501",0,0,0,8
"502",0,0,0,14
"503",0,0,0,9
"504",0,0,0,16
"505",0,0,0,8
"506",0,0,0,8
"507",0,0,0,14
"508",0,0,0,13
"509",0,0,0,8
"510",0,0,0,8
"511",0,0,0,9
"512",0,0,0,7
"513",0,0,0,10
"514",0,0,0,7
"515",0,0,0,12
"516",0,0,0,8
"517",0,0,0,15
"518",0,0,0,17
"519",0,0,0,8
"520",0,0,0,14
"521",0,0,0,11
"522",0,0,0,13
"523",0,0,0,8
"524",0,0,0,8
"525",0,0,0,14
"526",0,0,0,12
"527",0,0,0,5
"528",0,0,0,10
