"";"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"task_R";"ANSWER_R";"cuecolor_R";"error_R"
"46942";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;87;579,024999998976;"A";1;0;NA;"A";"blue";"black";"parity";9;0;0;0;1;0
"46946";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;88;578,22500000475;"A";1;0;NA;"A";"red";"black";"magnit";8;0;1;0;1;0
"46950";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;89;694,344999996247;"L";1;0;NA;"L";"blue";"black";"parity";2;0;1;1;1;0
"46954";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;90;619,715000000549;"A";1;0;NA;"A";"red";"black";"magnit";8;0;1;1;1;0
"46958";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;91;826,300000000512;"A";1;0;NA;"A";"red";"black";"parity";9;0;1;0;0;0
"46962";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;92;663,795000000391;"L";1;0;NA;"L";"red";"black";"parity";2;0;0;1;0;0
"46966";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;93;790,955000004033;"A";1;0;NA;"A";"red";"black";"parity";7;0;0;1;0;0
"46970";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;94;1386,18999999738;"L";1;0;NA;"L";"red";"black";"magnit";2;0;1;1;0;0
"46974";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";2;95;1259,46000000136;"A";1;0;NA;"A";"blue";"black";"magnit";7;0;0;1;1;0
"46979";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;0;1078,76499999827;"A";1;0;NA;"A";"blue";"black";"parity";3;300;99;99;99;99
"46983";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;1;602,59999999823;"A";1;0;NA;"A";"red";"black";"parity";7;300;0;0;1;0
"46987";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;2;680,549999997253;"L";1;0;NA;"L";"red";"black";"parity";6;300;0;1;0;0
"46991";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;3;530,859999998938;"A";1;0;NA;"A";"blue";"black";"magnit";7;300;1;1;1;0
"46995";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;4;1070,9199999983;"L";1;0;NA;"L";"blue";"black";"magnit";4;300;0;1;0;0
"46999";"5babd4285f26f10001b17c60";"BRAC1_horiAA_1st0";3;5;1061,95499999728;"A";1;0;NA;"A";"blue";"black";"magnit";8;300;0;1;0;0
