Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Question Key;Response
10;1591193874497;03/06/2020 14:17:54;1591193866672;2;03/06/2020 16:17:46;18619;2;questionnaire-b579;;5290506;5cd422b7e62009001b03f107;1490370;;complete;;5ed7aa4e9a8d5023bc87ef71;computer;Desktop or Laptop;Windows 7;Chrome 65.0.0.1617;1920x1080;1903x1080;demographics done;demographic;4;BRAC2_horiLL_1st300;Consents given;exp done;demographics done;education;High school diploma
11;1591193874497;03/06/2020 14:17:54;1591193866672;2;03/06/2020 16:17:46;18619;2;questionnaire-b579;;5290506;5cd422b7e62009001b03f107;1490370;;complete;;5ed7aa4e9a8d5023bc87ef71;computer;Desktop or Laptop;Windows 7;Chrome 65.0.0.1617;1920x1080;1903x1080;demographics done;demographic;4;BRAC2_horiLL_1st300;Consents given;exp done;demographics done;education-quantised;3
12;1591193874497;03/06/2020 14:17:54;1591193866673;2;03/06/2020 16:17:46;18619;2;questionnaire-b579;;5290506;5cd422b7e62009001b03f107;1490370;;complete;;5ed7aa4e9a8d5023bc87ef71;computer;Desktop or Laptop;Windows 7;Chrome 65.0.0.1617;1920x1080;1903x1080;demographics done;demographic;4;BRAC2_horiLL_1st300;Consents given;exp done;demographics done;psyKnowledge;Not at all
13;1591193874497;03/06/2020 14:17:54;1591193866673;2;03/06/2020 16:17:46;18619;2;questionnaire-b579;;5290506;5cd422b7e62009001b03f107;1490370;;complete;;5ed7aa4e9a8d5023bc87ef71;computer;Desktop or Laptop;Windows 7;Chrome 65.0.0.1617;1920x1080;1903x1080;demographics done;demographic;4;BRAC2_horiLL_1st300;Consents given;exp done;demographics done;psyKnowledge-quantised;1
14;1591193874497;03/06/2020 14:17:54;1591193866673;2;03/06/2020 16:17:46;18619;2;questionnaire-b579;;5290506;5cd422b7e62009001b03f107;1490370;;complete;;5ed7aa4e9a8d5023bc87ef71;computer;Desktop or Laptop;Windows 7;Chrome 65.0.0.1617;1920x1080;1903x1080;demographics done;demographic;4;BRAC2_horiLL_1st300;Consents given;exp done;demographics done;comment;
15;1591193874497;03/06/2020 14:17:54;1591193866673;2;03/06/2020 16:17:46;18619;2;questionnaire-b579;;5290506;5cd422b7e62009001b03f107;1490370;;complete;;5ed7aa4e9a8d5023bc87ef71;computer;Desktop or Laptop;Windows 7;Chrome 65.0.0.1617;1920x1080;1903x1080;demographics done;demographic;4;BRAC2_horiLL_1st300;Consents given;exp done;demographics done;END QUESTIONNAIRE;97984
1;1591193777015;03/06/2020 14:16:17;1591193778136;2;03/06/2020 16:16:18;18619;2;questionnaire-b579;;5290507;5e8eb537c6ec0916503f351b;1490379;;complete;;5ed7aacc95af08089614337f;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1920x937;demographics done;demographic;4;BRAC2_vertLL_1st0;Consents given;exp done;demographics done;BEGIN QUESTIONNAIRE;
2;1591193808664;03/06/2020 14:16:48;1591193809853;2;03/06/2020 16:16:49;18619;2;questionnaire-b579;;5290507;5e8eb537c6ec0916503f351b;1490379;;complete;;5ed7aacc95af08089614337f;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_vertLL_1st0;Consents given;exp done;demographics done;sex;female
3;1591193808742;03/06/2020 14:16:48;1591193809855;2;03/06/2020 16:16:49;18619;2;questionnaire-b579;;5290507;5e8eb537c6ec0916503f351b;1490379;;complete;;5ed7aacc95af08089614337f;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_vertLL_1st0;Consents given;exp done;demographics done;sex-quantised;2
4;1591193808742;03/06/2020 14:16:48;1591193809856;2;03/06/2020 16:16:49;18619;2;questionnaire-b579;;5290507;5e8eb537c6ec0916503f351b;1490379;;complete;;5ed7aacc95af08089614337f;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1920x1080;1903x937;demographics done;demographic;4;BRAC2_vertLL_1st0;Consents given;exp done;demographics done;age;
