"pp";"task_R";"correctResp_R";"context_R";"cocoa";"age";"sex";"version";"meanerror";"n";"se"
"24";"0";"1";"0";"300";26;"m";"lab";0,3125;48;0,0676102330791817
"24";"0";"1";"1";"0";26;"m";"lab";0,307692307692308;52;0,0646283115705235
"24";"0";"1";"1";"300";26;"m";"lab";0,19672131147541;61;0,0513195929262247
"24";"1";"0";"0";"0";26;"m";"lab";0,555555555555556;45;0,0749110958292491
"24";"1";"0";"0";"300";26;"m";"lab";0,2;40;0,0640512615220349
"24";"1";"0";"1";"0";26;"m";"lab";0,183673469387755;49;0,0558900568882823
"24";"1";"0";"1";"300";26;"m";"lab";0,478260869565217;46;0,0744651163980587
"24";"1";"1";"0";"0";26;"m";"lab";0,315789473684211;38;0,076417502239336
"24";"1";"1";"0";"300";26;"m";"lab";0,326530612244898;49;0,0676862202113347
"24";"1";"1";"1";"0";26;"m";"lab";0,205882352941176;34;0,0703874148721293
"24";"1";"1";"1";"300";26;"m";"lab";0,372093023255814;43;0,0745845326267231
"25";"0";"0";"0";"0";25;"m";"lab";0,0222222222222222;45;0,0222222222222222
"25";"0";"0";"0";"300";25;"m";"lab";0;46;0
"25";"0";"0";"1";"0";25;"m";"lab";0,0666666666666667;45;0,0376050716545177
"25";"0";"0";"1";"300";25;"m";"lab";0;53;0
"25";"0";"1";"0";"0";25;"m";"lab";0,0425531914893617;47;0,0297607917523504
"25";"0";"1";"0";"300";25;"m";"lab";0,0217391304347826;46;0,0217391304347826
"25";"0";"1";"1";"0";25;"m";"lab";0,0178571428571429;56;0,0178571428571429
"25";"0";"1";"1";"300";25;"m";"lab";0;43;0
"25";"1";"0";"0";"0";25;"m";"lab";0;49;0
"25";"1";"0";"0";"300";25;"m";"lab";0,0344827586206897;58;0,0241681601396711
"25";"1";"0";"1";"0";25;"m";"lab";0,0444444444444444;45;0,0310677909075347
"25";"1";"0";"1";"300";25;"m";"lab";0,0392156862745098;51;0,0274509803921569
"25";"1";"1";"0";"0";25;"m";"lab";0;45;0
"25";"1";"1";"0";"300";25;"m";"lab";0,0227272727272727;44;0,0227272727272727
"25";"1";"1";"1";"0";25;"m";"lab";0;48;0
"25";"1";"1";"1";"300";25;"m";"lab";0,0769230769230769;39;0,0432270374576166
"26";"0";"0";"0";"0";22;"m";"lab";0,0263157894736842;38;0,0263157894736842
"26";"0";"0";"0";"300";22;"m";"lab";0,0566037735849057;53;0,0320455764380546
"26";"0";"0";"1";"0";22;"m";"lab";0,0810810810810811;37;0,0454932654881175
"26";"0";"0";"1";"300";22;"m";"lab";0,0294117647058824;34;0,0294117647058824
"26";"0";"1";"0";"0";22;"m";"lab";0,0188679245283019;53;0,0188679245283019
"26";"0";"1";"0";"300";22;"m";"lab";0,0196078431372549;51;0,0196078431372549
"26";"0";"1";"1";"0";22;"m";"lab";0,0392156862745098;51;0,0274509803921569
"26";"0";"1";"1";"300";22;"m";"lab";0;55;0
"26";"1";"0";"0";"0";22;"m";"lab";0,04;50;0,0279941684889506
"26";"1";"0";"0";"300";22;"m";"lab";0,0392156862745098;51;0,0274509803921569
"26";"1";"0";"1";"0";22;"m";"lab";0,0714285714285714;42;0,0402208933122481
"26";"1";"0";"1";"300";22;"m";"lab";0,0666666666666667;45;0,0376050716545177
"26";"1";"1";"0";"0";22;"m";"lab";0,111111111111111;54;0,0431682605492117
"26";"1";"1";"0";"300";22;"m";"lab";0,024390243902439;41;0,024390243902439
"26";"1";"1";"1";"0";22;"m";"lab";0;54;0
"26";"1";"1";"1";"300";22;"m";"lab";0,02;50;0,02
"27";"0";"0";"0";"0";22;"f";"lab";0,024390243902439;41;0,024390243902439
"27";"0";"0";"0";"300";22;"f";"lab";0;32;0
"27";"0";"0";"1";"0";22;"f";"lab";0;43;0
"27";"0";"0";"1";"300";22;"f";"lab";0,0204081632653061;49;0,0204081632653061
"27";"0";"1";"0";"0";22;"f";"lab";0,0178571428571429;56;0,0178571428571429
"27";"0";"1";"0";"300";22;"f";"lab";0,0178571428571429;56;0,0178571428571429
"27";"0";"1";"1";"0";22;"f";"lab";0;44;0
"27";"0";"1";"1";"300";22;"f";"lab";0,0204081632653061;49;0,0204081632653061
"27";"1";"0";"0";"0";22;"f";"lab";0,04;50;0,0279941684889506
"27";"1";"0";"0";"300";22;"f";"lab";0,0192307692307692;52;0,0192307692307692
"27";"1";"0";"1";"0";22;"f";"lab";0;54;0
"27";"1";"0";"1";"300";22;"f";"lab";0;53;0
"27";"1";"1";"0";"0";22;"f";"lab";0,0263157894736842;38;0,0263157894736842
"27";"1";"1";"0";"300";22;"f";"lab";0,0277777777777778;36;0,0277777777777778
"27";"1";"1";"1";"0";22;"f";"lab";0;54;0
"27";"1";"1";"1";"300";22;"f";"lab";0,0188679245283019;53;0,0188679245283019
"28";"0";"0";"0";"0";23;"f";"lab";0,2;35;0,0685994340570035
"28";"0";"0";"0";"300";23;"f";"lab";0,0625;48;0,035308292679127
"28";"0";"0";"1";"0";23;"f";"lab";0,027027027027027;37;0,027027027027027
"28";"0";"0";"1";"300";23;"f";"lab";0,114285714285714;35;0,0545636406075561
"28";"0";"1";"0";"0";23;"f";"lab";0,0681818181818182;44;0,0384384309420226
"28";"0";"1";"0";"300";23;"f";"lab";0,111111111111111;45;0,0473779369679134
"28";"0";"1";"1";"0";23;"f";"lab";0,109090909090909;55;0,0424242424242424
"28";"0";"1";"1";"300";23;"f";"lab";0,122448979591837;49;0,0473143800790597
"28";"1";"0";"0";"0";23;"f";"lab";0,189655172413793;58;0,0519253999284344
"28";"1";"0";"0";"300";23;"f";"lab";0,0851063829787234;47;0,0411421941867476
"28";"1";"0";"1";"0";23;"f";"lab";0,125;72;0,0392491141014225
"28";"1";"0";"1";"300";23;"f";"lab";0,236363636363636;55;0,0578144970555725
"28";"1";"1";"0";"0";23;"f";"lab";0,1;30;0,0557086014531156
"28";"1";"1";"0";"300";23;"f";"lab";0,0869565217391304;46;0,042003990568665
"28";"1";"1";"1";"0";23;"f";"lab";0,0612244897959184;49;0,0346037244037003
"28";"1";"1";"1";"300";23;"f";"lab";0,127272727272727;55;0,0453534228699872
"29";"0";"0";"0";"0";20;"f";"lab";0,0285714285714286;35;0,0285714285714286
"29";"0";"0";"0";"300";20;"f";"lab";0,0652173913043478;46;0,0368070292730443
"29";"0";"0";"1";"0";20;"f";"lab";0,0555555555555556;36;0,0387184473576205
"29";"0";"0";"1";"300";20;"f";"lab";0,0425531914893617;47;0,0297607917523504
"29";"0";"1";"0";"0";20;"f";"lab";0;53;0
