Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;counterbalance-7ip1;counterbalance-a7a6;Question Key;Response
3;1593766363045;03/07/2020 08:52:43;1593766362915;1;03/07/2020 09:52:42;18619;3;questionnaire-b579;;5881784;5c19f2319bce3100018a67ba;1655956;;complete;;5efeebb24edd91016adf79fe;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1536x864;1519x722;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertAA_1st300;;sex-quantised;1
4;1593766363045;03/07/2020 08:52:43;1593766362915;1;03/07/2020 09:52:42;18619;3;questionnaire-b579;;5881784;5c19f2319bce3100018a67ba;1655956;;complete;;5efeebb24edd91016adf79fe;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1536x864;1519x722;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertAA_1st300;;age;22
5;1593766363045;03/07/2020 08:52:43;1593766362915;1;03/07/2020 09:52:42;18619;3;questionnaire-b579;;5881784;5c19f2319bce3100018a67ba;1655956;;complete;;5efeebb24edd91016adf79fe;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1536x864;1519x722;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertAA_1st300;;response-2;right-handed
6;1593766363045;03/07/2020 08:52:43;1593766362915;1;03/07/2020 09:52:42;18619;3;questionnaire-b579;;5881784;5c19f2319bce3100018a67ba;1655956;;complete;;5efeebb24edd91016adf79fe;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1536x864;1519x722;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertAA_1st300;;response-2-quantised;1
7;1593766363045;03/07/2020 08:52:43;1593766362915;1;03/07/2020 09:52:42;18619;3;questionnaire-b579;;5881784;5c19f2319bce3100018a67ba;1655956;;complete;;5efeebb24edd91016adf79fe;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1536x864;1519x722;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertAA_1st300;;response-2-text;
8;1593766363045;03/07/2020 08:52:43;1593766362915;1;03/07/2020 09:52:42;18619;3;questionnaire-b579;;5881784;5c19f2319bce3100018a67ba;1655956;;complete;;5efeebb24edd91016adf79fe;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1536x864;1519x722;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertAA_1st300;;response-3;Portuguese
9;1593766363045;03/07/2020 08:52:43;1593766362915;1;03/07/2020 09:52:42;18619;3;questionnaire-b579;;5881784;5c19f2319bce3100018a67ba;1655956;;complete;;5efeebb24edd91016adf79fe;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1536x864;1519x722;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertAA_1st300;;country;Portugal
10;1593766363045;03/07/2020 08:52:43;1593766362915;1;03/07/2020 09:52:42;18619;3;questionnaire-b579;;5881784;5c19f2319bce3100018a67ba;1655956;;complete;;5efeebb24edd91016adf79fe;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1536x864;1519x722;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertAA_1st300;;education;Some university/higher education but no degree
11;1593766363045;03/07/2020 08:52:43;1593766362916;1;03/07/2020 09:52:42;18619;3;questionnaire-b579;;5881784;5c19f2319bce3100018a67ba;1655956;;complete;;5efeebb24edd91016adf79fe;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1536x864;1519x722;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertAA_1st300;;education-quantised;4
12;1593766363045;03/07/2020 08:52:43;1593766362916;1;03/07/2020 09:52:42;18619;3;questionnaire-b579;;5881784;5c19f2319bce3100018a67ba;1655956;;complete;;5efeebb24edd91016adf79fe;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1536x864;1519x722;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertAA_1st300;;psyKnowledge;I've studied at least one of these disciplines (school or university)
13;1593766363045;03/07/2020 08:52:43;1593766362916;1;03/07/2020 09:52:42;18619;3;questionnaire-b579;;5881784;5c19f2319bce3100018a67ba;1655956;;complete;;5efeebb24edd91016adf79fe;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1536x864;1519x722;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertAA_1st300;;psyKnowledge-quantised;3
14;1593766363045;03/07/2020 08:52:43;1593766362916;1;03/07/2020 09:52:42;18619;3;questionnaire-b579;;5881784;5c19f2319bce3100018a67ba;1655956;;complete;;5efeebb24edd91016adf79fe;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1536x864;1519x722;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertAA_1st300;;comment;
15;1593766363045;03/07/2020 08:52:43;1593766362916;1;03/07/2020 09:52:42;18619;3;questionnaire-b579;;5881784;5c19f2319bce3100018a67ba;1655956;;complete;;5efeebb24edd91016adf79fe;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1536x864;1519x722;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_vertAA_1st300;;END QUESTIONNAIRE;56027
1;1593767232532;03/07/2020 09:07:12;1593767230790;1;03/07/2020 10:07:10;18619;3;questionnaire-b579;;5882016;5c95236d2e2e320001b1ab16;1655985;;complete;;5efeebb38f20d53ff4b67f88;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1920x937;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st0;;BEGIN QUESTIONNAIRE;
2;1593767265903;03/07/2020 09:07:45;1593767264257;1;03/07/2020 10:07:44;18619;3;questionnaire-b579;;5882016;5c95236d2e2e320001b1ab16;1655985;;complete;;5efeebb38f20d53ff4b67f88;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x937;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st0;;sex;male
3;1593767265980;03/07/2020 09:07:45;1593767264258;1;03/07/2020 10:07:44;18619;3;questionnaire-b579;;5882016;5c95236d2e2e320001b1ab16;1655985;;complete;;5efeebb38f20d53ff4b67f88;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x937;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st0;;sex-quantised;1
4;1593767265980;03/07/2020 09:07:45;1593767264258;1;03/07/2020 10:07:44;18619;3;questionnaire-b579;;5882016;5c95236d2e2e320001b1ab16;1655985;;complete;;5efeebb38f20d53ff4b67f88;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x937;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st0;;age;21
5;1593767265980;03/07/2020 09:07:45;1593767264258;1;03/07/2020 10:07:44;18619;3;questionnaire-b579;;5882016;5c95236d2e2e320001b1ab16;1655985;;complete;;5efeebb38f20d53ff4b67f88;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x937;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st0;;response-2;right-handed
6;1593767265980;03/07/2020 09:07:45;1593767264258;1;03/07/2020 10:07:44;18619;3;questionnaire-b579;;5882016;5c95236d2e2e320001b1ab16;1655985;;complete;;5efeebb38f20d53ff4b67f88;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x937;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st0;;response-2-quantised;1
7;1593767265980;03/07/2020 09:07:45;1593767264259;1;03/07/2020 10:07:44;18619;3;questionnaire-b579;;5882016;5c95236d2e2e320001b1ab16;1655985;;complete;;5efeebb38f20d53ff4b67f88;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x937;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st0;;response-2-text;
8;1593767265980;03/07/2020 09:07:45;1593767264259;1;03/07/2020 10:07:44;18619;3;questionnaire-b579;;5882016;5c95236d2e2e320001b1ab16;1655985;;complete;;5efeebb38f20d53ff4b67f88;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.116;1920x1080;1903x937;demographics done;demographic;4;Consents given;exp done;demographics done;BRAC2_horiAA_1st0;;END QUESTIONNAIRE;33469
