"pp";"task_R";"correctResp_R";"context_R";"cocoa";"age";"sex";"version";"meanrt";"n";"se"
"24";"0";"0";"0";"300";26;"m";"lab";720,382900238037;25;74,3327781736344
"24";"0";"0";"1";"0";26;"m";"lab";686,823107979514;22;76,1929087092846
"24";"0";"0";"1";"300";26;"m";"lab";875,789540154592;21;97,220667927139
"24";"0";"1";"0";"0";26;"m";"lab";782,996119522467;41;57,1178189427015
"24";"0";"1";"0";"300";26;"m";"lab";759,256452322006;24;44,6525835999837
"24";"0";"1";"1";"0";26;"m";"lab";775,143302720169;29;55,4504885977453
"24";"0";"1";"1";"300";26;"m";"lab";821,553688300284;38;57,5395273784317
"24";"1";"0";"0";"0";26;"m";"lab";922,402143478394;14;166,842870990324
"24";"1";"0";"0";"300";26;"m";"lab";942,447061538697;25;112,784660700067
"24";"1";"0";"1";"0";26;"m";"lab";1030,95788791262;29;68,4806970620412
"24";"1";"0";"1";"300";26;"m";"lab";1076,68477959103;18;124,793134712061
"24";"1";"1";"0";"0";26;"m";"lab";810,398771649315;21;74,8130756545259
"24";"1";"1";"0";"300";26;"m";"lab";1119,43329811096;25;90,1043434385393
"24";"1";"1";"1";"0";26;"m";"lab";924,265454797184;17;96,8637850691473
"24";"1";"1";"1";"300";26;"m";"lab";1018,92072813851;21;109,989074063787
"25";"0";"0";"0";"0";25;"m";"lab";761,703803425744;42;54,2434991432473
"25";"0";"0";"0";"300";25;"m";"lab";724,932150407271;44;58,4712647503257
"25";"0";"0";"1";"0";25;"m";"lab";827,287214142936;42;62,0019781159652
"25";"0";"0";"1";"300";25;"m";"lab";647,449346689078;52;40,240712791002
"25";"0";"1";"0";"0";25;"m";"lab";786,153029311787;44;53,3844047594351
"25";"0";"1";"0";"300";25;"m";"lab";711,53711742825;45;48,2558615432805
"25";"0";"1";"1";"0";25;"m";"lab";714,032915403258;53;39,828306881926
"25";"0";"1";"1";"300";25;"m";"lab";756,598555764486;43;52,184769635198
"25";"1";"0";"0";"0";25;"m";"lab";882,922459621819;49;44,5698014877796
"25";"1";"0";"0";"300";25;"m";"lab";835,34936185153;53;56,1839470798826
"25";"1";"0";"1";"0";25;"m";"lab";952,791060720171;42;72,3446776145556
"25";"1";"0";"1";"300";25;"m";"lab";895,173316099206;49;54,2054507435159
"25";"1";"1";"0";"0";25;"m";"lab";892,78621673584;45;64,3517497064824
"25";"1";"1";"0";"300";25;"m";"lab";760,715333426871;41;59,6179811223558
"25";"1";"1";"1";"0";25;"m";"lab";993,942575251803;47;75,4367037671093
"25";"1";"1";"1";"300";25;"m";"lab";749,879394258772;35;62,873505274961
"26";"0";"0";"0";"0";22;"m";"lab";649,261801583426;35;44,1757467496516
"26";"0";"0";"0";"300";22;"m";"lab";702,414006603007;49;42,8958902222098
"26";"0";"0";"1";"0";22;"m";"lab";803,481045891257;34;78,7581762407199
"26";"0";"0";"1";"300";22;"m";"lab";627,188384532928;32;44,4809642504396
"26";"0";"1";"0";"0";22;"m";"lab";686,416676411262;52;41,2474222989456
"26";"0";"1";"0";"300";22;"m";"lab";684,06429498092;46;40,9193663719539
"26";"0";"1";"1";"0";22;"m";"lab";695,561094717546;44;48,2732330857061
"26";"0";"1";"1";"300";22;"m";"lab";681,764125823975;53;46,2407583984716
"26";"1";"0";"0";"0";22;"m";"lab";689,319801330567;45;40,3177249910135
"26";"1";"0";"0";"300";22;"m";"lab";816,078434387843;48;55,2148161475037
"26";"1";"0";"1";"0";22;"m";"lab";799,120387515506;37;59,1105414592434
"26";"1";"0";"1";"300";22;"m";"lab";791,018800037663;41;49,8445314859382
"26";"1";"1";"0";"0";22;"m";"lab";744,634778603264;46;48,2813342389659
"26";"1";"1";"0";"300";22;"m";"lab";728,782898187637;40;48,9662616620282
"26";"1";"1";"1";"0";22;"m";"lab";685,285709342178;49;42,6358223139605
"26";"1";"1";"1";"300";22;"m";"lab";720,097278026824;47;38,689440797968
"27";"0";"0";"0";"0";22;"f";"lab";515,916728973389;40;37,6242353579913
"27";"0";"0";"0";"300";22;"f";"lab";604,018844664097;32;51,5278963056446
"27";"0";"0";"1";"0";22;"f";"lab";559,429912340073;42;23,5492873712476
"27";"0";"0";"1";"300";22;"f";"lab";562,840397159258;48;30,8542441287454
"27";"0";"1";"0";"0";22;"f";"lab";600,638419931585;55;46,9057123439421
