Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-4d69;checkpoint-tucj;checkpoint-7y1f;Question Key;Response
14;1590515434042;26/05/2020 17:50:34;1590515430727;2;26/05/2020 19:50:30;17308;16;questionnaire-89vf;;5146989;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;demographic;4;BRAC1_vertAA_1st0;after consent;after task;after demographic;comment;
15;1590515434042;26/05/2020 17:50:34;1590515430728;2;26/05/2020 19:50:30;17308;16;questionnaire-89vf;;5146989;UG7;1454090;;complete;uhpezn;;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1280x720;1263x578;after demographic;demographic;4;BRAC1_vertAA_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;182897
1;1590511897858;26/05/2020 16:51:37;1590511897766;2;26/05/2020 18:51:37;17308;16;questionnaire-89vf;;5146011;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after task;after demographic;BEGIN QUESTIONNAIRE;
2;1590511956215;26/05/2020 16:52:36;1590511956038;2;26/05/2020 18:52:36;17308;16;questionnaire-89vf;;5146011;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after task;after demographic;sex;female
3;1590511956292;26/05/2020 16:52:36;1590511956039;2;26/05/2020 18:52:36;17308;16;questionnaire-89vf;;5146011;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after task;after demographic;sex-quantised;2
4;1590511956292;26/05/2020 16:52:36;1590511956040;2;26/05/2020 18:52:36;17308;16;questionnaire-89vf;;5146011;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after task;after demographic;age;19
5;1590511956292;26/05/2020 16:52:36;1590511956040;2;26/05/2020 18:52:36;17308;16;questionnaire-89vf;;5146011;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after task;after demographic;response-2;right-handed
6;1590511956292;26/05/2020 16:52:36;1590511956040;2;26/05/2020 18:52:36;17308;16;questionnaire-89vf;;5146011;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after task;after demographic;response-2-quantised;1
7;1590511956292;26/05/2020 16:52:36;1590511956040;2;26/05/2020 18:52:36;17308;16;questionnaire-89vf;;5146011;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after task;after demographic;response-2-text;
8;1590511956292;26/05/2020 16:52:36;1590511956040;2;26/05/2020 18:52:36;17308;16;questionnaire-89vf;;5146011;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after task;after demographic;response-3;German
9;1590511956292;26/05/2020 16:52:36;1590511956040;2;26/05/2020 18:52:36;17308;16;questionnaire-89vf;;5146011;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after task;after demographic;country;Belgium
10;1590511956292;26/05/2020 16:52:36;1590511956040;2;26/05/2020 18:52:36;17308;16;questionnaire-89vf;;5146011;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after task;after demographic;education;High school diploma
11;1590511956292;26/05/2020 16:52:36;1590511956040;2;26/05/2020 18:52:36;17308;16;questionnaire-89vf;;5146011;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after task;after demographic;education-quantised;3
12;1590511956292;26/05/2020 16:52:36;1590511956040;2;26/05/2020 18:52:36;17308;16;questionnaire-89vf;;5146011;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after task;after demographic;psyKnowledge;Some knowledge as amateur
13;1590511956292;26/05/2020 16:52:36;1590511956040;2;26/05/2020 18:52:36;17308;16;questionnaire-89vf;;5146011;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after task;after demographic;psyKnowledge-quantised;2
14;1590511956292;26/05/2020 16:52:36;1590511956040;2;26/05/2020 18:52:36;17308;16;questionnaire-89vf;;5146011;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after task;after demographic;comment;
15;1590511956292;26/05/2020 16:52:36;1590511956041;2;26/05/2020 18:52:36;17308;16;questionnaire-89vf;;5146011;NE3;1450059;;complete;duoorp;;computer;Desktop or Laptop;Mac OS 10.15.4;Safari 13.1;1440x900;1440x862;after demographic;demographic;4;BRAC1_horiLA_1st0;after consent;after task;after demographic;END QUESTIONNAIRE;58276
