"pp";"counterbalance";"blockNum";"trialNum";"rt";"Response";"Attempt";"error";"Timed.Out";"ANSWER";"cuecolor";"framecolor";"task";"stimulus";"cocoa";"Participant.OS";"Participant.Browser";"ppViewportSize";"task_R";"ANSWER_R";"framecolor_R";"error_R";"age";"sex";"psyKnowledge";"education";"handedness";"motherTongue";"country"
"PJ6";"BRAC2_vertAA_1st300";0;36;1508,01499999943;"A";1;0;NA;"A";"black";"red";"magnit";8;300;"MacOs";"Chrome";"1440x697";0;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;37;1068,24999999662;"A";1;0;NA;"A";"black";"blue";"magnit";9;300;"MacOs";"Chrome";"1440x697";0;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;38;802,27500000177;"L";1;0;NA;"L";"black";"red";"magnit";1;300;"MacOs";"Chrome";"1440x697";0;1;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;39;483,585000001825;"A";1;0;NA;"A";"black";"red";"magnit";9;300;"MacOs";"Chrome";"1440x697";0;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;40;885,464999999385;"A";1;0;NA;"A";"black";"blue";"parity";7;300;"MacOs";"Chrome";"1440x697";1;0;1;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;41;672,595000003581;"L";1;0;NA;"L";"black";"blue";"parity";4;300;"MacOs";"Chrome";"1440x697";0;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;42;707,954999997979;"A";1;0;NA;"A";"black";"blue";"magnit";7;300;"MacOs";"Chrome";"1440x697";1;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;43;988,164999995264;"A";1;0;NA;"A";"black";"blue";"magnit";9;300;"MacOs";"Chrome";"1440x697";0;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;44;597,3400000002;"L";1;0;NA;"L";"black";"blue";"magnit";3;300;"MacOs";"Chrome";"1440x697";0;1;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
"PJ6";"BRAC2_vertAA_1st300";0;45;590,380000001518;"L";1;0;NA;"L";"black";"blue";"magnit";1;300;"MacOs";"Chrome";"1440x697";0;0;0;0;"27";"female";"I've studied at least one of these disciplines (school or university)";"Bachelor degree";"right-handed";"";"Germany"
