Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;counterbalance-9qvq;checkpoint-ngg1;checkpoint-nubw;checkpoint-t5ey;Question Key;Response
3;1590581612173;27/05/2020 12:13:32;1590581611182;2;27/05/2020 14:13:31;18619;2;questionnaire-b579;;5155852;5e2d8e0accad9c386b566154;1458054;;complete;;5ece50ec52564820c8088f81;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiAA_1st300;Consents given;exp done;demographics done;sex-quantised;1
4;1590581612173;27/05/2020 12:13:32;1590581611182;2;27/05/2020 14:13:31;18619;2;questionnaire-b579;;5155852;5e2d8e0accad9c386b566154;1458054;;complete;;5ece50ec52564820c8088f81;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiAA_1st300;Consents given;exp done;demographics done;age;27
5;1590581612173;27/05/2020 12:13:32;1590581611182;2;27/05/2020 14:13:31;18619;2;questionnaire-b579;;5155852;5e2d8e0accad9c386b566154;1458054;;complete;;5ece50ec52564820c8088f81;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiAA_1st300;Consents given;exp done;demographics done;response-2;right-handed
6;1590581612173;27/05/2020 12:13:32;1590581611182;2;27/05/2020 14:13:31;18619;2;questionnaire-b579;;5155852;5e2d8e0accad9c386b566154;1458054;;complete;;5ece50ec52564820c8088f81;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiAA_1st300;Consents given;exp done;demographics done;response-2-quantised;1
7;1590581612173;27/05/2020 12:13:32;1590581611182;2;27/05/2020 14:13:31;18619;2;questionnaire-b579;;5155852;5e2d8e0accad9c386b566154;1458054;;complete;;5ece50ec52564820c8088f81;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiAA_1st300;Consents given;exp done;demographics done;response-2-text;
8;1590581612173;27/05/2020 12:13:32;1590581611182;2;27/05/2020 14:13:31;18619;2;questionnaire-b579;;5155852;5e2d8e0accad9c386b566154;1458054;;complete;;5ece50ec52564820c8088f81;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiAA_1st300;Consents given;exp done;demographics done;response-3;Poland
9;1590581612173;27/05/2020 12:13:32;1590581611183;2;27/05/2020 14:13:31;18619;2;questionnaire-b579;;5155852;5e2d8e0accad9c386b566154;1458054;;complete;;5ece50ec52564820c8088f81;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiAA_1st300;Consents given;exp done;demographics done;country;Poland
10;1590581612173;27/05/2020 12:13:32;1590581611183;2;27/05/2020 14:13:31;18619;2;questionnaire-b579;;5155852;5e2d8e0accad9c386b566154;1458054;;complete;;5ece50ec52564820c8088f81;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiAA_1st300;Consents given;exp done;demographics done;education;Master degree
11;1590581612173;27/05/2020 12:13:32;1590581611183;2;27/05/2020 14:13:31;18619;2;questionnaire-b579;;5155852;5e2d8e0accad9c386b566154;1458054;;complete;;5ece50ec52564820c8088f81;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiAA_1st300;Consents given;exp done;demographics done;education-quantised;6
12;1590581612173;27/05/2020 12:13:32;1590581611183;2;27/05/2020 14:13:31;18619;2;questionnaire-b579;;5155852;5e2d8e0accad9c386b566154;1458054;;complete;;5ece50ec52564820c8088f81;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiAA_1st300;Consents given;exp done;demographics done;psyKnowledge;I've studied at least one of these disciplines (school or university)
13;1590581612173;27/05/2020 12:13:32;1590581611184;2;27/05/2020 14:13:31;18619;2;questionnaire-b579;;5155852;5e2d8e0accad9c386b566154;1458054;;complete;;5ece50ec52564820c8088f81;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiAA_1st300;Consents given;exp done;demographics done;psyKnowledge-quantised;3
14;1590581612173;27/05/2020 12:13:32;1590581611184;2;27/05/2020 14:13:31;18619;2;questionnaire-b579;;5155852;5e2d8e0accad9c386b566154;1458054;;complete;;5ece50ec52564820c8088f81;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiAA_1st300;Consents given;exp done;demographics done;comment;
15;1590581612173;27/05/2020 12:13:32;1590581611184;2;27/05/2020 14:13:31;18619;2;questionnaire-b579;;5155852;5e2d8e0accad9c386b566154;1458054;;complete;;5ece50ec52564820c8088f81;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1536x864;1519x754;demographics done;demographic;4;BRAC2_horiAA_1st300;Consents given;exp done;demographics done;END QUESTIONNAIRE;53930
1;1590581041670;27/05/2020 12:04:01;1590581041455;1;27/05/2020 13:04:01;18619;2;questionnaire-b579;;5155696;5e7e45b8f0320e0897cf5048;1458041;;complete;;5ece50a6807bc31e782890bc;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1536x722;demographics done;demographic;4;BRAC2_vertAA_1st300;Consents given;exp done;demographics done;BEGIN QUESTIONNAIRE;
2;1590581075201;27/05/2020 12:04:35;1590581075012;1;27/05/2020 13:04:35;18619;2;questionnaire-b579;;5155696;5e7e45b8f0320e0897cf5048;1458041;;complete;;5ece50a6807bc31e782890bc;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x722;demographics done;demographic;4;BRAC2_vertAA_1st300;Consents given;exp done;demographics done;sex;male
3;1590581075279;27/05/2020 12:04:35;1590581075014;1;27/05/2020 13:04:35;18619;2;questionnaire-b579;;5155696;5e7e45b8f0320e0897cf5048;1458041;;complete;;5ece50a6807bc31e782890bc;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x722;demographics done;demographic;4;BRAC2_vertAA_1st300;Consents given;exp done;demographics done;sex-quantised;1
4;1590581075279;27/05/2020 12:04:35;1590581075014;1;27/05/2020 13:04:35;18619;2;questionnaire-b579;;5155696;5e7e45b8f0320e0897cf5048;1458041;;complete;;5ece50a6807bc31e782890bc;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x722;demographics done;demographic;4;BRAC2_vertAA_1st300;Consents given;exp done;demographics done;age;19
5;1590581075279;27/05/2020 12:04:35;1590581075015;1;27/05/2020 13:04:35;18619;2;questionnaire-b579;;5155696;5e7e45b8f0320e0897cf5048;1458041;;complete;;5ece50a6807bc31e782890bc;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x722;demographics done;demographic;4;BRAC2_vertAA_1st300;Consents given;exp done;demographics done;response-2;left-handed
6;1590581075279;27/05/2020 12:04:35;1590581075015;1;27/05/2020 13:04:35;18619;2;questionnaire-b579;;5155696;5e7e45b8f0320e0897cf5048;1458041;;complete;;5ece50a6807bc31e782890bc;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x722;demographics done;demographic;4;BRAC2_vertAA_1st300;Consents given;exp done;demographics done;response-2-quantised;2
7;1590581075279;27/05/2020 12:04:35;1590581075015;1;27/05/2020 13:04:35;18619;2;questionnaire-b579;;5155696;5e7e45b8f0320e0897cf5048;1458041;;complete;;5ece50a6807bc31e782890bc;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x722;demographics done;demographic;4;BRAC2_vertAA_1st300;Consents given;exp done;demographics done;response-2-text;
8;1590581075279;27/05/2020 12:04:35;1590581075015;1;27/05/2020 13:04:35;18619;2;questionnaire-b579;;5155696;5e7e45b8f0320e0897cf5048;1458041;;complete;;5ece50a6807bc31e782890bc;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x722;demographics done;demographic;4;BRAC2_vertAA_1st300;Consents given;exp done;demographics done;response-3;Portuguese
9;1590581075279;27/05/2020 12:04:35;1590581075015;1;27/05/2020 13:04:35;18619;2;questionnaire-b579;;5155696;5e7e45b8f0320e0897cf5048;1458041;;complete;;5ece50a6807bc31e782890bc;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x722;demographics done;demographic;4;BRAC2_vertAA_1st300;Consents given;exp done;demographics done;country;Portugal
10;1590581075279;27/05/2020 12:04:35;1590581075015;1;27/05/2020 13:04:35;18619;2;questionnaire-b579;;5155696;5e7e45b8f0320e0897cf5048;1458041;;complete;;5ece50a6807bc31e782890bc;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x722;demographics done;demographic;4;BRAC2_vertAA_1st300;Consents given;exp done;demographics done;education;High school diploma
11;1590581075279;27/05/2020 12:04:35;1590581075015;1;27/05/2020 13:04:35;18619;2;questionnaire-b579;;5155696;5e7e45b8f0320e0897cf5048;1458041;;complete;;5ece50a6807bc31e782890bc;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x722;demographics done;demographic;4;BRAC2_vertAA_1st300;Consents given;exp done;demographics done;education-quantised;3
12;1590581075279;27/05/2020 12:04:35;1590581075016;1;27/05/2020 13:04:35;18619;2;questionnaire-b579;;5155696;5e7e45b8f0320e0897cf5048;1458041;;complete;;5ece50a6807bc31e782890bc;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x722;demographics done;demographic;4;BRAC2_vertAA_1st300;Consents given;exp done;demographics done;psyKnowledge;Not at all
13;1590581075279;27/05/2020 12:04:35;1590581075016;1;27/05/2020 13:04:35;18619;2;questionnaire-b579;;5155696;5e7e45b8f0320e0897cf5048;1458041;;complete;;5ece50a6807bc31e782890bc;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x722;demographics done;demographic;4;BRAC2_vertAA_1st300;Consents given;exp done;demographics done;psyKnowledge-quantised;1
14;1590581075279;27/05/2020 12:04:35;1590581075016;1;27/05/2020 13:04:35;18619;2;questionnaire-b579;;5155696;5e7e45b8f0320e0897cf5048;1458041;;complete;;5ece50a6807bc31e782890bc;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x722;demographics done;demographic;4;BRAC2_vertAA_1st300;Consents given;exp done;demographics done;comment;
15;1590581075279;27/05/2020 12:04:35;1590581075016;1;27/05/2020 13:04:35;18619;2;questionnaire-b579;;5155696;5e7e45b8f0320e0897cf5048;1458041;;complete;;5ece50a6807bc31e782890bc;computer;Desktop or Laptop;Windows 10;Chrome 83.0.4103.61;1536x864;1519x722;demographics done;demographic;4;BRAC2_vertAA_1st300;Consents given;exp done;demographics done;END QUESTIONNAIRE;33562
1;1590580908703;27/05/2020 12:01:48;1590580911321;2;27/05/2020 14:01:51;18619;2;questionnaire-b579;;5155660;59402f40e9b44100013b1789;1457994;;complete;;5ece4e842bf0931f4428fa24;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1366x768;1366x625;demographics done;demographic;4;BRAC2_horiAL_1st0;Consents given;exp done;demographics done;BEGIN QUESTIONNAIRE;
2;1590580932065;27/05/2020 12:02:12;1590580934723;2;27/05/2020 14:02:14;18619;2;questionnaire-b579;;5155660;59402f40e9b44100013b1789;1457994;;complete;;5ece4e842bf0931f4428fa24;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1366x768;1349x625;demographics done;demographic;4;BRAC2_horiAL_1st0;Consents given;exp done;demographics done;sex;female
3;1590580932159;27/05/2020 12:02:12;1590580934725;2;27/05/2020 14:02:14;18619;2;questionnaire-b579;;5155660;59402f40e9b44100013b1789;1457994;;complete;;5ece4e842bf0931f4428fa24;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1366x768;1349x625;demographics done;demographic;4;BRAC2_horiAL_1st0;Consents given;exp done;demographics done;sex-quantised;2
4;1590580932159;27/05/2020 12:02:12;1590580934725;2;27/05/2020 14:02:14;18619;2;questionnaire-b579;;5155660;59402f40e9b44100013b1789;1457994;;complete;;5ece4e842bf0931f4428fa24;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1366x768;1349x625;demographics done;demographic;4;BRAC2_horiAL_1st0;Consents given;exp done;demographics done;age;28
5;1590580932159;27/05/2020 12:02:12;1590580934725;2;27/05/2020 14:02:14;18619;2;questionnaire-b579;;5155660;59402f40e9b44100013b1789;1457994;;complete;;5ece4e842bf0931f4428fa24;computer;Desktop or Laptop;Windows 10;Chrome 81.0.4044.138;1366x768;1349x625;demographics done;demographic;4;BRAC2_horiAL_1st0;Consents given;exp done;demographics done;response-2;right-handed
